,단어명,세계빈도수,조선빈도수,한겨레빈도수,총빈도수
935,김상곤,6,7,1,14
864,적임,7,6,1,14
893,재건,7,5,2,14
960,계약,4,5,5,14
921,어린이집,6,2,6,14
970,홍문표,4,7,3,14
973,기득권,4,5,5,14
924,기존,6,7,1,14
860,달성,7,5,2,14
928,대로,6,7,1,14
873,심정,7,4,3,14
909,시점,6,7,1,14
768,특권,10,1,3,14
877,영광,7,6,1,14
774,급등,10,1,3,14
955,최대한,5,6,3,14
902,찾기,6,3,5,14
952,유포,5,6,3,14
885,불평등,7,4,3,14
888,집행,7,5,2,14
832,주문,8,2,4,14
931,담당,6,4,3,13
938,합리,6,5,2,13
916,다수,6,3,4,13
763,혜원,10,1,2,13
913,결실,6,3,4,13
896,사유,7,5,1,13
863,접대,7,3,3,13
843,발생,8,3,2,13
879,실종,7,4,2,13
894,양극화,7,5,1,13
845,여전,8,3,2,13
853,흐름,7,5,1,13
917,시선,6,4,2,12
934,아무,6,5,1,12
835,구태,8,2,2,12
971,음모,4,5,3,12
907,과연,6,3,3,12
905,승진,6,3,3,12
918,자처,6,3,3,12
880,낭비,7,3,2,12
875,표절,7,3,2,12
859,차질,7,4,1,12
890,질서,7,1,3,11
925,미소,6,2,3,11
881,트랙,7,3,1,11
901,편성,6,3,2,11
891,납득,7,2,2,11
962,급증,4,4,3,11
898,라운드,7,1,3,11
942,명분,5,5,1,11
869,김명수,7,1,2,10
857,발족,7,2,1,10
974,제자리,4,3,3,10
926,표창원,6,2,2,10
854,비율,7,2,1,10
959,출연,4,5,1,10
947,취급,5,3,2,10
930,번지,6,3,1,10
910,저출산,6,3,1,10
946,그림자,5,3,2,10
956,전교조,5,3,1,9
933,퇴진,6,2,1,9
939,돼지,5,3,1,9
945,본질,5,1,3,9
963,적절,4,3,2,9
953,몰카,5,3,1,9
966,날개,4,2,2,8
972,추측,4,3,1,8
964,인연,4,1,3,8
919,단호,6,1,1,8
975,금태섭,4,1,3,8
968,보전,4,1,2,7
965,편의,4,2,1,7
